epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,777.779,0.75281,0.30934,0.00218,0.95041,0.94778,0.97167,0.80419,0.70519,0.33538,0.00323,0.0011684,0.0011684,0.0011684
44,795.698,0.80021,0.33651,0.00234,0.9495,0.94139,0.97629,0.81477,0.67944,0.32986,0.00308,0.0011486,0.0011486,0.0011486
45,813.654,0.75159,0.31318,0.00218,0.95675,0.95421,0.97668,0.81295,0.6854,0.31183,0.00314,0.0011288,0.0011288,0.0011288
46,831.663,0.75922,0.31953,0.00216,0.92657,0.94505,0.97538,0.78898,0.76655,0.36359,0.00352,0.001109,0.001109,0.001109
47,849.595,0.77529,0.31924,0.00231,0.94008,0.95421,0.97895,0.81737,0.69869,0.29829,0.00316,0.0010892,0.0010892,0.0010892
48,867.6,0.7801,0.33062,0.00229,0.96283,0.94883,0.97844,0.79942,0.72289,0.32439,0.00336,0.0010694,0.0010694,0.0010694
49,885.497,0.71562,0.29106,0.00203,0.92197,0.95211,0.96818,0.78754,0.762,0.36334,0.00332,0.0010496,0.0010496,0.0010496
50,903.437,0.73873,0.30471,0.0021,0.93657,0.95604,0.98226,0.82301,0.65688,0.30398,0.00296,0.0010298,0.0010298,0.0010298
51,921.429,0.72021,0.29666,0.00207,0.94908,0.95588,0.98307,0.82728,0.65952,0.29508,0.00294,0.00101,0.00101,0.00101
52,939.395,0.73479,0.31041,0.00211,0.94331,0.94475,0.98144,0.81858,0.66032,0.30762,0.00294,0.0009902,0.0009902,0.0009902
53,957.281,0.7188,0.30599,0.00202,0.95728,0.94689,0.98107,0.81432,0.64388,0.30524,0.0029,0.0009704,0.0009704,0.0009704
54,975.177,0.73102,0.32333,0.00213,0.94615,0.94322,0.9819,0.808,0.69763,0.3187,0.00316,0.0009506,0.0009506,0.0009506
55,993.06,0.70661,0.30422,0.00201,0.94036,0.96337,0.9809,0.81354,0.67053,0.308,0.00296,0.0009308,0.0009308,0.0009308
56,1011.02,0.73192,0.30019,0.00206,0.9195,0.95421,0.97775,0.82322,0.66135,0.32059,0.00295,0.000911,0.000911,0.000911
57,1028.92,0.71132,0.30637,0.00207,0.95127,0.94505,0.97863,0.82574,0.67393,0.3148,0.00301,0.0008912,0.0008912,0.0008912
58,1046.83,0.70721,0.28881,0.00204,0.94154,0.94395,0.98062,0.81032,0.67262,0.32104,0.00294,0.0008714,0.0008714,0.0008714
59,1064.76,0.70752,0.30728,0.00206,0.94419,0.95238,0.9795,0.80827,0.72329,0.31968,0.0032,0.0008516,0.0008516,0.0008516
60,1082.67,0.70936,0.2909,0.002,0.95776,0.9551,0.97935,0.82006,0.66061,0.30172,0.00302,0.0008318,0.0008318,0.0008318
61,1100.53,0.70982,0.28055,0.00197,0.97345,0.93407,0.98654,0.83443,0.62923,0.29636,0.00282,0.000812,0.000812,0.000812
62,1118.52,0.69367,0.2814,0.00194,0.98088,0.93942,0.98671,0.8176,0.6982,0.29633,0.00308,0.0007922,0.0007922,0.0007922
63,1136.4,0.72622,0.30907,0.00209,0.95236,0.95204,0.98,0.83783,0.61359,0.2934,0.00273,0.0007724,0.0007724,0.0007724
64,1154.37,0.67534,0.27859,0.00195,0.97643,0.93407,0.98723,0.82302,0.66011,0.29651,0.00295,0.0007526,0.0007526,0.0007526
