epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,258.441,0.8078,0.38865,0.00235,0.95175,0.9359,0.98265,0.7894,0.73129,0.35371,0.0033,0.0011882,0.0011882,0.0011882
43,264.37,0.78683,0.37567,0.00226,0.92886,0.9304,0.97224,0.79169,0.73051,0.3607,0.00336,0.0011684,0.0011684,0.0011684
44,270.271,0.81902,0.38557,0.00233,0.9237,0.95347,0.97553,0.79809,0.71646,0.34315,0.00319,0.0011486,0.0011486,0.0011486
45,276.183,0.79988,0.38726,0.00228,0.94612,0.94505,0.97838,0.79951,0.73444,0.34561,0.00326,0.0011288,0.0011288,0.0011288
46,282.084,0.80054,0.37451,0.00225,0.94489,0.91575,0.97522,0.77073,0.8289,0.38727,0.00376,0.001109,0.001109,0.001109
47,287.985,0.78543,0.37357,0.00227,0.95646,0.93956,0.97982,0.81367,0.68811,0.33398,0.00312,0.0010892,0.0010892,0.0010892
48,293.906,0.76855,0.34814,0.00222,0.92615,0.95788,0.97986,0.79786,0.72973,0.33881,0.00329,0.0010694,0.0010694,0.0010694
49,299.818,0.7692,0.35244,0.00218,0.9344,0.93956,0.97845,0.81206,0.71453,0.33796,0.00315,0.0010496,0.0010496,0.0010496
50,305.725,0.79356,0.37116,0.00222,0.9338,0.95584,0.97993,0.81173,0.68793,0.33307,0.00307,0.0010298,0.0010298,0.0010298
51,311.634,0.78121,0.36809,0.0022,0.96079,0.90842,0.9813,0.81847,0.66699,0.33462,0.00291,0.00101,0.00101,0.00101
52,317.555,0.7633,0.3472,0.00217,0.95164,0.93698,0.97844,0.82062,0.6748,0.339,0.00298,0.0009902,0.0009902,0.0009902
53,323.463,0.74774,0.34599,0.00208,0.93805,0.92857,0.97634,0.82018,0.6704,0.32849,0.00303,0.0009704,0.0009704,0.0009704
54,329.365,0.75455,0.34485,0.00218,0.95265,0.92119,0.97868,0.80729,0.7019,0.35476,0.00314,0.0009506,0.0009506,0.0009506
55,335.343,0.74835,0.34729,0.00209,0.92968,0.94872,0.97976,0.81188,0.68421,0.33591,0.00302,0.0009308,0.0009308,0.0009308
56,341.475,0.74679,0.34731,0.00208,0.96097,0.92308,0.97968,0.82051,0.67764,0.32199,0.00296,0.000911,0.000911,0.000911
