epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9771,1.32509,1.70442,0.00486,0.90298,0.8944,0.93445,0.58886,1.27542,0.77468,0.00684,0.000654971,0.000654971,0.000654971
2,33.667,1.21048,0.69962,0.00435,0.89684,0.90991,0.94747,0.58793,1.33698,0.66611,0.00697,0.00130855,0.00130855,0.00130855
3,45.237,1.21558,0.67856,0.00429,0.89294,0.87087,0.93948,0.67329,1.05918,0.66323,0.0068,0.00194894,0.00194894,0.00194894
4,56.7844,1.18718,0.61792,0.00437,0.91691,0.87387,0.9516,0.63103,1.29469,0.66202,0.00776,0.0019406,0.0019406,0.0019406
5,68.3023,1.14453,0.61713,0.00414,0.90332,0.89791,0.95089,0.66455,1.12689,0.50491,0.00682,0.0019208,0.0019208,0.0019208
6,79.9244,1.16145,0.63494,0.00434,0.92711,0.93544,0.9743,0.73097,0.94524,0.52612,0.00551,0.001901,0.001901,0.001901
7,91.7298,1.07844,0.51587,0.00399,0.93313,0.92342,0.97538,0.72299,0.90628,0.42616,0.00479,0.0018812,0.0018812,0.0018812
8,103.315,1.04627,0.47373,0.00382,0.91155,0.90691,0.96046,0.66438,1.13524,0.63905,0.00655,0.0018614,0.0018614,0.0018614
9,115.227,1.08924,0.50702,0.00393,0.91828,0.93393,0.96426,0.71643,0.94752,0.42638,0.00499,0.0018416,0.0018416,0.0018416
10,127.08,1.03163,0.45955,0.0037,0.92635,0.9065,0.96331,0.7142,0.94817,0.43244,0.00538,0.0018218,0.0018218,0.0018218
11,138.916,1.04801,0.48362,0.00382,0.90698,0.94144,0.96642,0.7211,0.98474,0.49495,0.00581,0.001802,0.001802,0.001802
12,150.479,1.0244,0.47318,0.00386,0.93788,0.93093,0.9673,0.69352,1.01922,0.43911,0.00611,0.0017822,0.0017822,0.0017822
13,162.031,1.044,0.47837,0.00368,0.93739,0.92173,0.9678,0.73404,0.9637,0.40178,0.00585,0.0017624,0.0017624,0.0017624
14,173.719,1.01366,0.46584,0.00371,0.91561,0.94745,0.97411,0.70923,0.99898,0.36342,0.00563,0.0017426,0.0017426,0.0017426
15,185.248,1.03221,0.45827,0.00379,0.93182,0.93093,0.96759,0.68515,1.15945,0.40704,0.00656,0.0017228,0.0017228,0.0017228
16,196.797,1.01786,0.44496,0.00388,0.93959,0.92042,0.97499,0.7491,0.92208,0.36585,0.00573,0.001703,0.001703,0.001703
17,208.37,0.99128,0.41972,0.00365,0.94032,0.92271,0.9746,0.74404,0.9225,0.377,0.00523,0.0016832,0.0016832,0.0016832
18,219.918,0.99297,0.43688,0.00357,0.94937,0.92918,0.97295,0.75248,0.8616,0.35518,0.00492,0.0016634,0.0016634,0.0016634
19,231.574,0.96624,0.45344,0.00347,0.94622,0.9246,0.97648,0.72979,0.9463,0.3866,0.0053,0.0016436,0.0016436,0.0016436
20,243.135,0.98509,0.44861,0.00356,0.95646,0.92346,0.97633,0.72744,0.95777,0.39021,0.00566,0.0016238,0.0016238,0.0016238
21,254.675,0.99583,0.44649,0.00363,0.94742,0.94144,0.97789,0.75798,0.87211,0.33283,0.00489,0.001604,0.001604,0.001604
22,266.283,0.94067,0.40715,0.00343,0.92648,0.94602,0.97802,0.75492,0.93137,0.3586,0.0054,0.0015842,0.0015842,0.0015842
23,277.899,0.93092,0.39819,0.00335,0.96723,0.9009,0.97357,0.74296,0.90887,0.34052,0.00514,0.0015644,0.0015644,0.0015644
24,289.457,0.97442,0.42737,0.00354,0.9361,0.94585,0.98092,0.75846,0.88618,0.34468,0.00509,0.0015446,0.0015446,0.0015446
25,301.033,0.92001,0.41389,0.0035,0.93361,0.94444,0.97643,0.75573,0.94034,0.34861,0.00579,0.0015248,0.0015248,0.0015248
26,312.588,0.93105,0.40948,0.0033,0.93832,0.95646,0.98286,0.76957,0.819,0.31862,0.00456,0.001505,0.001505,0.001505
27,324.232,0.94523,0.40896,0.00334,0.92718,0.95646,0.98324,0.76505,0.87569,0.32921,0.005,0.0014852,0.0014852,0.0014852
28,335.792,0.93299,0.40314,0.00332,0.95554,0.93586,0.98492,0.78645,0.83416,0.31911,0.00486,0.0014654,0.0014654,0.0014654
29,347.37,0.91777,0.40314,0.00336,0.93204,0.95796,0.97758,0.76313,0.85077,0.37752,0.00493,0.0014456,0.0014456,0.0014456
30,358.905,0.93156,0.39979,0.0033,0.95287,0.94102,0.98192,0.7657,0.82742,0.39435,0.0046,0.0014258,0.0014258,0.0014258
31,370.515,0.8832,0.38381,0.00317,0.93458,0.95045,0.98029,0.78512,0.7778,0.31374,0.00426,0.001406,0.001406,0.001406
32,382.055,0.89649,0.38209,0.00335,0.9389,0.94444,0.98007,0.78528,0.81991,0.33137,0.00476,0.0013862,0.0013862,0.0013862
33,393.591,0.85428,0.35516,0.00298,0.94664,0.95898,0.98094,0.77521,0.86855,0.30916,0.00514,0.0013664,0.0013664,0.0013664
34,405.144,0.87936,0.3645,0.00334,0.96601,0.93393,0.98286,0.77078,0.84621,0.31689,0.00468,0.0013466,0.0013466,0.0013466
35,416.755,0.87301,0.37241,0.00319,0.94514,0.93393,0.97683,0.78054,0.83077,0.32313,0.00473,0.0013268,0.0013268,0.0013268
36,428.296,0.88542,0.38318,0.00314,0.96017,0.94595,0.98316,0.77399,0.85641,0.31826,0.00486,0.001307,0.001307,0.001307
37,439.838,0.88155,0.37477,0.00312,0.94404,0.95646,0.98228,0.78692,0.81235,0.39204,0.00477,0.0012872,0.0012872,0.0012872
38,451.401,0.88127,0.36158,0.00311,0.94983,0.93813,0.97892,0.75732,0.87387,0.3302,0.00501,0.0012674,0.0012674,0.0012674
39,462.986,0.8752,0.36834,0.00317,0.92548,0.96973,0.9809,0.77757,0.82644,0.29942,0.00495,0.0012476,0.0012476,0.0012476
40,474.515,0.82824,0.34237,0.00288,0.93756,0.95195,0.97843,0.77114,0.89246,0.32607,0.00544,0.0012278,0.0012278,0.0012278
41,486.065,0.86443,0.36558,0.00304,0.9672,0.94144,0.98276,0.79989,0.79784,0.2933,0.00462,0.001208,0.001208,0.001208
42,497.644,0.85174,0.3622,0.00305,0.94211,0.95291,0.97923,0.78011,0.8339,0.31842,0.00484,0.0011882,0.0011882,0.0011882
43,509.262,0.85495,0.34724,0.00308,0.92646,0.96997,0.98192,0.78192,0.79703,0.31232,0.00459,0.0011684,0.0011684,0.0011684
44,520.804,0.84927,0.34553,0.00297,0.95145,0.94595,0.98288,0.78676,0.82092,0.32116,0.00476,0.0011486,0.0011486,0.0011486
45,532.342,0.85319,0.35126,0.00306,0.94221,0.94745,0.9842,0.7911,0.81921,0.32002,0.00472,0.0011288,0.0011288,0.0011288
46,543.903,0.83213,0.33984,0.00288,0.95813,0.93093,0.98395,0.79902,0.77339,0.29008,0.0044,0.001109,0.001109,0.001109
47,555.506,0.83281,0.36129,0.00304,0.94601,0.94722,0.98232,0.79241,0.80064,0.30168,0.0047,0.0010892,0.0010892,0.0010892
48,567.042,0.82083,0.32725,0.00285,0.97149,0.93994,0.98755,0.78707,0.87335,0.29944,0.00508,0.0010694,0.0010694,0.0010694
49,578.754,0.81189,0.31232,0.00288,0.93008,0.95495,0.98347,0.77169,0.86203,0.31166,0.00475,0.0010496,0.0010496,0.0010496
50,590.29,0.80819,0.32458,0.00282,0.95708,0.95646,0.98695,0.79863,0.79232,0.28392,0.00448,0.0010298,0.0010298,0.0010298
51,601.914,0.83065,0.33854,0.00302,0.94813,0.95345,0.98288,0.78052,0.82655,0.32188,0.0048,0.00101,0.00101,0.00101
52,613.453,0.82318,0.35991,0.00296,0.94929,0.94595,0.98534,0.78947,0.78585,0.29027,0.00446,0.0009902,0.0009902,0.0009902
53,624.99,0.82778,0.33548,0.00289,0.96008,0.93899,0.98138,0.77948,0.82302,0.29281,0.00465,0.0009704,0.0009704,0.0009704
54,636.528,0.8142,0.34284,0.0029,0.95004,0.96547,0.98409,0.80889,0.74113,0.2681,0.0042,0.0009506,0.0009506,0.0009506
55,648.173,0.79488,0.32156,0.00287,0.96184,0.94617,0.98621,0.79846,0.80874,0.30062,0.0047,0.0009308,0.0009308,0.0009308
56,659.704,0.7839,0.3078,0.0028,0.94986,0.96718,0.98447,0.80687,0.80697,0.26813,0.0048,0.000911,0.000911,0.000911
57,671.231,0.81132,0.35357,0.00289,0.95601,0.95495,0.98563,0.79764,0.79378,0.29914,0.00451,0.0008912,0.0008912,0.0008912
58,682.812,0.79885,0.33225,0.00277,0.94814,0.94895,0.98374,0.79948,0.75927,0.29191,0.00433,0.0008714,0.0008714,0.0008714
59,694.421,0.77946,0.31305,0.0028,0.95231,0.95948,0.98565,0.79622,0.7924,0.29921,0.0045,0.0008516,0.0008516,0.0008516
60,705.957,0.7827,0.31341,0.00266,0.96762,0.94221,0.98644,0.81301,0.77193,0.27544,0.00453,0.0008318,0.0008318,0.0008318
61,717.539,0.75769,0.30093,0.00265,0.95957,0.96215,0.98595,0.80252,0.82851,0.29341,0.00495,0.000812,0.000812,0.000812
62,729.076,0.79231,0.31827,0.00278,0.93841,0.96088,0.98267,0.79647,0.8031,0.29647,0.00465,0.0007922,0.0007922,0.0007922
63,740.604,0.75976,0.30999,0.00274,0.95004,0.97088,0.98796,0.80051,0.77748,0.26988,0.00452,0.0007724,0.0007724,0.0007724
64,752.197,0.77189,0.30343,0.00272,0.96974,0.92793,0.98413,0.7901,0.83501,0.2995,0.00493,0.0007526,0.0007526,0.0007526
65,763.726,0.75166,0.31123,0.0029,0.96326,0.94491,0.98505,0.81599,0.77813,0.28841,0.00447,0.0007328,0.0007328,0.0007328
66,775.337,0.73687,0.30426,0.00261,0.94748,0.95495,0.98275,0.81001,0.78211,0.30189,0.00461,0.000713,0.000713,0.000713
67,786.887,0.75314,0.29471,0.00262,0.94988,0.96759,0.9869,0.80601,0.76427,0.27787,0.0043,0.0006932,0.0006932,0.0006932
68,798.483,0.74667,0.29822,0.00259,0.95679,0.96412,0.98785,0.80889,0.73495,0.28327,0.00417,0.0006734,0.0006734,0.0006734
69,810.014,0.74586,0.30518,0.00259,0.95963,0.96357,0.98671,0.8169,0.77853,0.26754,0.00469,0.0006536,0.0006536,0.0006536
70,821.57,0.71302,0.29035,0.00245,0.95953,0.9613,0.98685,0.80853,0.7761,0.26844,0.00456,0.0006338,0.0006338,0.0006338
71,833.104,0.73763,0.29563,0.00264,0.96358,0.95352,0.98712,0.81726,0.75508,0.28654,0.00426,0.000614,0.000614,0.000614
72,844.762,0.74162,0.29963,0.00259,0.97085,0.95006,0.98845,0.82046,0.75248,0.25499,0.00425,0.0005942,0.0005942,0.0005942
73,856.534,0.70937,0.28132,0.0026,0.96585,0.95195,0.98847,0.81392,0.74996,0.26433,0.00431,0.0005744,0.0005744,0.0005744
74,869.052,0.70966,0.27483,0.0025,0.95666,0.9611,0.98766,0.80963,0.79557,0.27603,0.00455,0.0005546,0.0005546,0.0005546
75,880.59,0.70865,0.2653,0.00242,0.96259,0.96096,0.98755,0.81471,0.79152,0.2786,0.00455,0.0005348,0.0005348,0.0005348
76,892.298,0.71263,0.27372,0.0025,0.96151,0.96396,0.98992,0.81405,0.7631,0.26258,0.0043,0.000515,0.000515,0.000515
77,904.113,0.69483,0.27453,0.00241,0.95676,0.96345,0.98901,0.80932,0.77363,0.26437,0.00445,0.0004952,0.0004952,0.0004952
78,915.747,0.68258,0.26274,0.0024,0.96408,0.96722,0.9892,0.82264,0.73243,0.2524,0.00418,0.0004754,0.0004754,0.0004754
79,927.312,0.68959,0.272,0.00242,0.9556,0.96959,0.98849,0.82262,0.75584,0.2642,0.00443,0.0004556,0.0004556,0.0004556
80,938.846,0.70077,0.26612,0.00238,0.97267,0.95646,0.98812,0.81959,0.74558,0.25916,0.00426,0.0004358,0.0004358,0.0004358
81,950.462,0.66546,0.25922,0.00232,0.959,0.96697,0.98894,0.81486,0.7833,0.31208,0.00455,0.000416,0.000416,0.000416
82,962.031,0.69277,0.26588,0.00247,0.96394,0.96336,0.98832,0.82086,0.74461,0.25839,0.00428,0.0003962,0.0003962,0.0003962
83,973.568,0.67109,0.26636,0.00222,0.96971,0.9613,0.99013,0.82527,0.74497,0.25036,0.00422,0.0003764,0.0003764,0.0003764
84,985.151,0.67492,0.26597,0.00231,0.96703,0.96547,0.99042,0.82933,0.72354,0.24269,0.00414,0.0003566,0.0003566,0.0003566
85,996.796,0.65707,0.25221,0.00231,0.96775,0.96396,0.98956,0.82291,0.75297,0.25393,0.00441,0.0003368,0.0003368,0.0003368
86,1008.35,0.66976,0.26185,0.00234,0.95943,0.96697,0.98919,0.82692,0.74032,0.25066,0.00432,0.000317,0.000317,0.000317
87,1019.88,0.65356,0.25394,0.00231,0.95417,0.96899,0.98843,0.81835,0.76288,0.26375,0.00442,0.0002972,0.0002972,0.0002972
88,1031.4,0.65141,0.25871,0.00219,0.95348,0.96847,0.98855,0.82598,0.74366,0.25603,0.00437,0.0002774,0.0002774,0.0002774
89,1043.02,0.65077,0.25313,0.00228,0.97225,0.95646,0.98991,0.82766,0.75056,0.25254,0.00437,0.0002576,0.0002576,0.0002576
90,1054.58,0.63912,0.24543,0.00217,0.96274,0.96991,0.98981,0.82598,0.7527,0.25618,0.00437,0.0002378,0.0002378,0.0002378
91,1066.51,0.57965,0.22466,0.00239,0.97378,0.94811,0.98871,0.81823,0.76546,0.25603,0.00431,0.000218,0.000218,0.000218
92,1077.92,0.58488,0.21421,0.00229,0.95964,0.96384,0.98824,0.82223,0.77005,0.25942,0.00443,0.0001982,0.0001982,0.0001982
93,1089.29,0.56625,0.20274,0.00225,0.96453,0.96847,0.9893,0.82957,0.74849,0.24662,0.00436,0.0001784,0.0001784,0.0001784
94,1100.81,0.5545,0.18833,0.00217,0.95578,0.9737,0.98859,0.8324,0.73302,0.24869,0.0043,0.0001586,0.0001586,0.0001586
95,1112.23,0.56328,0.19367,0.00222,0.96978,0.96547,0.98914,0.82972,0.72807,0.24673,0.00424,0.0001388,0.0001388,0.0001388
96,1123.64,0.57593,0.20618,0.00219,0.96968,0.96045,0.98877,0.83201,0.72961,0.25105,0.00426,0.000119,0.000119,0.000119
