epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2067,1.33046,3.60209,0.00478,0.00913,0.92492,0.66011,0.40616,1.00536,4.02744,0.00494,0.000654971,0.000654971,0.000654971
2,25.5371,1.25552,2.31943,0.00435,0.78599,0.76426,0.84187,0.58069,1.05194,2.36507,0.00578,0.00130855,0.00130855,0.00130855
3,32.869,1.19959,1.69645,0.00405,0.84753,0.80781,0.88555,0.60192,1.02529,1.11506,0.00555,0.00194894,0.00194894,0.00194894
4,40.0719,1.20555,1.37079,0.00425,0.82826,0.83033,0.90383,0.63302,0.97399,0.8265,0.00521,0.0019406,0.0019406,0.0019406
5,47.2845,1.22162,1.14777,0.00427,0.87539,0.83483,0.92298,0.58922,1.2633,0.77513,0.00687,0.0019208,0.0019208,0.0019208
6,54.4894,1.17736,1.02259,0.00423,0.87644,0.84141,0.91395,0.63081,0.96213,0.72667,0.00494,0.001901,0.001901,0.001901
7,61.7695,1.12247,0.88946,0.00398,0.88602,0.84384,0.92822,0.62463,1.11237,0.57517,0.00583,0.0018812,0.0018812,0.0018812
8,69.1555,1.09812,0.7788,0.00391,0.92366,0.86486,0.9472,0.67366,1.03289,0.53187,0.00594,0.0018614,0.0018614,0.0018614
9,76.6098,1.10683,0.74099,0.00384,0.85384,0.90345,0.93203,0.67151,0.98414,0.61561,0.00561,0.0018416,0.0018416,0.0018416
10,83.8838,1.07292,0.67782,0.00374,0.9025,0.91731,0.95089,0.68853,0.99504,0.46877,0.00571,0.0018218,0.0018218,0.0018218
11,91.1958,1.06482,0.65989,0.00379,0.90364,0.90991,0.95522,0.70734,0.96036,0.44013,0.0054,0.001802,0.001802,0.001802
12,98.4315,1.05203,0.63061,0.00377,0.92278,0.87915,0.94932,0.69459,0.97705,0.45635,0.00527,0.0017822,0.0017822,0.0017822
13,105.646,1.04336,0.6255,0.00354,0.89295,0.91592,0.9658,0.70349,0.96523,0.42322,0.00525,0.0017624,0.0017624,0.0017624
14,112.883,1.06772,0.60603,0.00375,0.91064,0.90275,0.95776,0.69935,0.9425,0.4264,0.00532,0.0017426,0.0017426,0.0017426
15,120.176,1.04623,0.60891,0.00372,0.91882,0.89339,0.95816,0.72316,0.90691,0.44403,0.00509,0.0017228,0.0017228,0.0017228
16,127.41,1.00985,0.55094,0.00366,0.90509,0.94507,0.96551,0.7158,0.98197,0.43696,0.0056,0.001703,0.001703,0.001703
17,134.633,0.99208,0.52654,0.00349,0.8998,0.90335,0.9484,0.70779,0.94778,0.46942,0.00545,0.0016832,0.0016832,0.0016832
18,141.93,1.01834,0.54077,0.00353,0.91395,0.91892,0.957,0.72342,0.90776,0.4273,0.00516,0.0016634,0.0016634,0.0016634
19,149.216,1.00217,0.5542,0.00357,0.92174,0.90192,0.96218,0.72471,0.88202,0.50125,0.00498,0.0016436,0.0016436,0.0016436
20,156.602,1.02409,0.55225,0.00359,0.91265,0.90691,0.9658,0.73982,0.8774,0.37493,0.00495,0.0016238,0.0016238,0.0016238
21,163.858,1.00237,0.52484,0.00356,0.94483,0.89339,0.96362,0.74501,0.87605,0.42583,0.00493,0.001604,0.001604,0.001604
22,171.121,0.97193,0.49628,0.00346,0.95143,0.90691,0.97294,0.7467,0.89313,0.37763,0.00504,0.0015842,0.0015842,0.0015842
23,178.375,0.9585,0.48488,0.00334,0.93429,0.91797,0.97015,0.73848,0.86188,0.38056,0.00479,0.0015644,0.0015644,0.0015644
24,185.764,0.99833,0.50741,0.00353,0.94459,0.92144,0.97622,0.73558,0.91859,0.36138,0.00524,0.0015446,0.0015446,0.0015446
25,193.002,0.95318,0.47741,0.00351,0.93671,0.92342,0.96906,0.75139,0.88746,0.36832,0.00522,0.0015248,0.0015248,0.0015248
26,200.255,0.95553,0.47803,0.0033,0.92522,0.91742,0.9718,0.75797,0.8424,0.36475,0.00471,0.001505,0.001505,0.001505
27,207.502,0.96201,0.4823,0.00332,0.93504,0.92793,0.97989,0.74382,0.85991,0.34033,0.00488,0.0014852,0.0014852,0.0014852
28,214.826,0.97788,0.48381,0.00341,0.9218,0.92032,0.97515,0.7578,0.79893,0.37883,0.00426,0.0014654,0.0014654,0.0014654
29,222.065,0.97217,0.47546,0.00343,0.92499,0.94427,0.97734,0.73659,0.85739,0.36273,0.00462,0.0014456,0.0014456,0.0014456
30,229.314,0.92492,0.459,0.00318,0.94664,0.9324,0.97864,0.7585,0.82623,0.34471,0.00459,0.0014258,0.0014258,0.0014258
31,236.562,0.91305,0.44576,0.00318,0.9343,0.93952,0.98111,0.75543,0.83143,0.34668,0.00468,0.001406,0.001406,0.001406
32,243.862,0.93361,0.43868,0.00337,0.93799,0.93243,0.9789,0.76056,0.84115,0.34425,0.00473,0.0013862,0.0013862,0.0013862
33,251.118,0.9069,0.42747,0.00307,0.94679,0.93243,0.97664,0.74757,0.90074,0.35983,0.00514,0.0013664,0.0013664,0.0013664
34,258.36,0.91718,0.445,0.00333,0.94794,0.90841,0.97493,0.75309,0.8354,0.35753,0.00462,0.0013466,0.0013466,0.0013466
35,265.637,0.90614,0.43917,0.0032,0.92184,0.92091,0.96982,0.74344,0.87445,0.39754,0.00485,0.0013268,0.0013268,0.0013268
36,272.954,0.92291,0.46271,0.00319,0.94533,0.93466,0.97978,0.75756,0.83331,0.34217,0.00463,0.001307,0.001307,0.001307
37,280.177,0.90353,0.44027,0.00314,0.95544,0.93372,0.98315,0.76652,0.84907,0.33899,0.0049,0.0012872,0.0012872,0.0012872
38,287.415,0.90147,0.43176,0.00308,0.9365,0.93001,0.97264,0.76022,0.80699,0.35266,0.00442,0.0012674,0.0012674,0.0012674
39,294.658,0.91339,0.446,0.00323,0.92964,0.93247,0.9702,0.7446,0.84686,0.42082,0.0049,0.0012476,0.0012476,0.0012476
40,301.967,0.8728,0.41322,0.00295,0.94247,0.93464,0.98082,0.7862,0.80941,0.33798,0.00466,0.0012278,0.0012278,0.0012278
41,309.221,0.90029,0.43345,0.00314,0.97008,0.92489,0.98082,0.76147,0.84054,0.32465,0.00479,0.001208,0.001208,0.001208
42,316.463,0.89672,0.41259,0.00317,0.95132,0.93243,0.98289,0.78224,0.81539,0.32393,0.00471,0.0011882,0.0011882,0.0011882
43,323.686,0.88989,0.41393,0.00315,0.95591,0.9441,0.97739,0.77529,0.79108,0.3128,0.00447,0.0011684,0.0011684,0.0011684
44,331.092,0.88771,0.41778,0.00303,0.95684,0.932,0.98342,0.77162,0.85416,0.32845,0.00504,0.0011486,0.0011486,0.0011486
45,338.393,0.89492,0.40558,0.00313,0.94323,0.94144,0.97983,0.78223,0.81832,0.34432,0.00464,0.0011288,0.0011288,0.0011288
46,345.655,0.88215,0.39892,0.00299,0.96121,0.93243,0.98379,0.79429,0.77148,0.30317,0.00432,0.001109,0.001109,0.001109
47,352.91,0.86721,0.38989,0.00311,0.94454,0.95796,0.98562,0.78433,0.82608,0.30978,0.00473,0.0010892,0.0010892,0.0010892
48,360.142,0.86296,0.37447,0.00295,0.93846,0.93883,0.98135,0.78822,0.81639,0.31908,0.00474,0.0010694,0.0010694,0.0010694
49,367.453,0.85043,0.36806,0.00292,0.94339,0.95089,0.9847,0.78578,0.78974,0.32437,0.0044,0.0010496,0.0010496,0.0010496
50,374.706,0.85036,0.35787,0.00288,0.93957,0.9572,0.98426,0.79579,0.77678,0.32421,0.00442,0.0010298,0.0010298,0.0010298
51,381.958,0.86252,0.37378,0.00305,0.95568,0.9389,0.98155,0.78272,0.81275,0.3192,0.00471,0.00101,0.00101,0.00101
52,389.197,0.84564,0.39476,0.00299,0.94805,0.95345,0.9848,0.79502,0.79988,0.30894,0.00459,0.0009902,0.0009902,0.0009902
53,396.511,0.84959,0.38241,0.00292,0.94726,0.95045,0.9824,0.79277,0.7719,0.30287,0.00439,0.0009704,0.0009704,0.0009704
54,403.807,0.84172,0.3814,0.00296,0.94071,0.94745,0.98114,0.78899,0.78048,0.31057,0.00443,0.0009506,0.0009506,0.0009506
55,411.056,0.84586,0.37987,0.00298,0.94456,0.94651,0.98046,0.77977,0.82403,0.30792,0.00478,0.0009308,0.0009308,0.0009308
56,418.654,0.81483,0.35765,0.00282,0.93438,0.96396,0.97674,0.76614,0.84014,0.32699,0.00477,0.000911,0.000911,0.000911
57,426.04,0.83455,0.385,0.00289,0.93998,0.9406,0.98253,0.80182,0.7847,0.31058,0.00464,0.0008912,0.0008912,0.0008912
58,433.28,0.84346,0.37708,0.00289,0.93937,0.94144,0.9841,0.78092,0.84769,0.3109,0.0051,0.0008714,0.0008714,0.0008714
59,440.497,0.82954,0.36609,0.00295,0.95205,0.93243,0.98327,0.79875,0.77858,0.30259,0.00446,0.0008516,0.0008516,0.0008516
60,447.754,0.82329,0.37397,0.00275,0.9656,0.92725,0.98281,0.78769,0.8079,0.31412,0.00468,0.0008318,0.0008318,0.0008318
61,454.991,0.79558,0.36485,0.00272,0.95511,0.92643,0.97806,0.78793,0.77797,0.31571,0.00439,0.000812,0.000812,0.000812
62,462.325,0.82983,0.35858,0.00285,0.92915,0.94521,0.97646,0.79545,0.79218,0.33319,0.00452,0.0007922,0.0007922,0.0007922
63,469.566,0.78392,0.34794,0.00277,0.93185,0.94435,0.97639,0.79796,0.74002,0.30583,0.00415,0.0007724,0.0007724,0.0007724
64,476.815,0.80059,0.35053,0.0028,0.94709,0.94076,0.97989,0.78743,0.80474,0.29518,0.0046,0.0007526,0.0007526,0.0007526
65,484.053,0.80204,0.34929,0.00307,0.94851,0.94294,0.98165,0.79383,0.80126,0.32281,0.00461,0.0007328,0.0007328,0.0007328
66,491.359,0.78533,0.35204,0.00273,0.95535,0.94895,0.98387,0.80256,0.76567,0.31002,0.00444,0.000713,0.000713,0.000713
67,498.605,0.80566,0.35096,0.00274,0.96017,0.94294,0.98457,0.80549,0.79704,0.30787,0.00475,0.0006932,0.0006932,0.0006932
68,505.897,0.78253,0.34301,0.00266,0.94972,0.95646,0.98703,0.80286,0.79837,0.30788,0.00474,0.0006734,0.0006734,0.0006734
69,513.191,0.79598,0.34425,0.00272,0.96017,0.9412,0.98598,0.80248,0.77264,0.29062,0.00439,0.0006536,0.0006536,0.0006536
70,520.557,0.77174,0.3438,0.00263,0.95413,0.94895,0.98806,0.80682,0.78227,0.28797,0.00456,0.0006338,0.0006338,0.0006338
71,527.788,0.77476,0.33989,0.00273,0.95209,0.95486,0.98708,0.81748,0.78068,0.28813,0.00458,0.000614,0.000614,0.000614
